"filename", "language", "JSON", "UnityShader", "C#", "UnityAssemblyDefinition", "XML", "Python", "JSON with Comments", "reStructuredText", "Shell Script", "Markdown", "Ini", "C", "Properties", "comment", "blank", "total"
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\socks.py", "Python", 0, 0, 0, 0, 0, -587, 0, 0, 0, 0, 0, 0, 0, -71, -144, -802
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\tzlocal\__init__.py", "Python", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\tzlocal\darwin.py", "Python", 0, 0, 0, 0, 0, -43, 0, 0, 0, 0, 0, 0, 0, -2, -15, -60
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\tzlocal\unix.py", "Python", 0, 0, 0, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, -19, -22, -131
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\tzlocal\win32.py", "Python", 0, 0, 0, 0, 0, -59, 0, 0, 0, 0, 0, 0, 0, -18, -17, -94
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\tzlocal\windows_tz.py", "Python", 0, 0, 0, 0, 0, -589, 0, 0, 0, 0, 0, 0, 0, -3, -3, -595
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\__init__.py", "Python", 0, 0, 0, 0, 0, -69, 0, 0, 0, 0, 0, 0, 0, -11, -18, -98
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\_collections.py", "Python", 0, 0, 0, 0, 0, -239, 0, 0, 0, 0, 0, 0, 0, -16, -65, -320
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\connection.py", "Python", 0, 0, 0, 0, 0, -260, 0, 0, 0, 0, 0, 0, 0, -42, -72, -374
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\connectionpool.py", "Python", 0, 0, 0, 0, 0, -628, 0, 0, 0, 0, 0, 0, 0, -103, -175, -906
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\contrib\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\contrib\_securetransport\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\contrib\_securetransport\bindings.py", "Python", 0, 0, 0, 0, 0, -497, 0, 0, 0, 0, 0, 0, 0, -4, -93, -594
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\contrib\_securetransport\low_level.py", "Python", 0, 0, 0, 0, 0, -241, 0, 0, 0, 0, 0, 0, 0, -50, -53, -344
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\contrib\appengine.py", "Python", 0, 0, 0, 0, 0, -220, 0, 0, 0, 0, 0, 0, 0, -13, -64, -297
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\contrib\ntlmpool.py", "Python", 0, 0, 0, 0, 0, -87, 0, 0, 0, 0, 0, 0, 0, -7, -19, -113
