"filename", "language", "JSON", "C#", "UnityShader", "Database", "XML", "Shell Script", "comment", "blank", "total"
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\ExtractSpriteShader.shader", "UnityShader", 0, 0, 44, 0, 0, 0, 1, 6, 51
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\GUIUtilShader.shader", "UnityShader", 0, 0, 80, 0, 0, 0, 3, 15, 98
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\LazyEditorIconShader.shader", "UnityShader", 0, 0, 41, 0, 0, 0, 7, 9, 57
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\SdfIconShader.shader", "UnityShader", 0, 0, 81, 0, 0, 0, 0, 14, 95
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\AddressablesInspectors.cs", "C#", 0, 283, 0, 0, 0, 0, -4, 99, 378
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Internal\OdinAddressableReflection.cs", "C#", 0, 19, 0, 0, 0, 0, 5, 6, 30
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Internal\OdinAddressableReflectionValidator.cs", "C#", 0, 33, 0, 0, 0, 0, 5, 8, 46
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Validators\AssetLabelReferenceValidator.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Validators\AssetReferenceValidator.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Validators\CheckDuplicateBundleDependenciesValidator.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Validators\CheckResourcesToAddressableDuplicateDependenciesValidator.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Validators\DisallowAddressableSubAssetFieldAttributeValidator.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Validators\MissingAddressableGroupReferenceValidator.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Validator\Assets\Editor\Hidden\ValidatorSpinningShader.shader", "UnityShader", 0, 0, 222, 0, 0, 0, 8, 52, 282
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Validator\EnsureCorrectOdinVersion.cs", "C#", 0, 160, 0, 0, 0, 0, 6, 31, 197
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\BGM.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\AdditionalConditionData.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\ConditionTemplate.cs", "C#", 0, -7, 0, 0, 0, 0, 0, -1, -8
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\EnemyData.cs", "C#", 0, 1, 0, 0, 0, 0, 0, -2, -1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\ICharacter.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\IInventory.cs", "C#", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\IPlayer.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\IStorage.cs", "C#", 0, -24, 0, 0, 0, 0, 0, -1, -25
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Message\OnItemUpdated.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\OnItemSelectMessage.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Status\FlagStatType.cs", "C#", 0, -136, 0, 0, 0, 0, 0, -2, -138
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Status\FlagStatTypeExtensions.cs", "C#", 0, 100, 0, 0, 0, 0, 0, 5, 105
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Status\IStats.cs", "C#", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Status\IStatusManager.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Status\StatType.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Domain.Model.asmdef", "JSON", 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\DungeonBluePrintData.cs", "C#", 0, -1, 0, 0, 0, 0, 0, -4, -5
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\DungeonMapData.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\FloorData.cs", "C#", 0, -2, 0, 0, 0, 0, 0, 1, -1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\IDungeonData.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\ItemCategory.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\ItemCategoryWeight.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\Location.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\MapGraph\EnemyTableNode.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\MapGraph\FloorNode.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\MapGraph\MapGraph.cs", "C#", 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\MapGraph\MapNode.cs", "C#", 0, 172, 0, 0, 0, 0, 0, 15, 187
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\MapGraph\SectionNode.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\MasterItemDataBase.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\SectionData.cs", "C#", 0, -7, 0, 0, 0, 0, 0, -2, -9
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Dungeon\SectionType.cs", "C#", 0, -13, 0, 0, 0, 0, 0, 0, -13
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\ElementPower.cs", "C#", 0, 50, 0, 0, 0, 0, 0, 7, 57
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\IActorOfEffect.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\IActorlessEffectPosition.cs", "C#", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\IHasName.cs", "C#", 0, -8, 0, 0, 0, 0, 0, -1, -9
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\ITargetOfEffect.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Position\AtFeet.cs", "C#", 0, -4, 0, 0, 0, 0, 0, -1, -5
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\SkillData.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\SkillDataOnThrow.cs", "C#", 0, -3, 0, 0, 0, 0, 0, 0, -3
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\SkillDataOnUse.cs", "C#", 0, -3, 0, 0, 0, 0, 0, -2, -5
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Entity\EntityBase.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Entity\IEntity.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Entity\IScheduledEventEntity.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Entity\StatueData.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Evaluation\CommonSenseParameters.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\IGameManager.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\IHasName.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\IHasScheduledEvent.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\IPlayerEvent.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\IScheduledEvent.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\DirectWeaponData.cs", "C#", 0, 25, 0, 0, 0, 0, 0, 2, 27
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\DirectWeaponFeature.cs", "C#", 0, 108, 0, 0, 0, 0, 1, 7, 116
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\HasUpgradesExtensions.cs", "C#", 0, -13, 0, 0, 0, 0, 0, -2, -15
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\IInventoryEffect.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\IItem.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\IItemEffect.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\IItemEntity.cs", "C#", 0, -2, 0, 0, 0, 0, 0, 0, -2
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\IStorage.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 1, 27
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\ItemData.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\ItemEffectType.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\ItemFocus.cs", "C#", 0, 37, 0, 0, 0, 0, 0, 1, 38
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\RarityExtensions.cs", "C#", 0, 12, 0, 0, 0, 0, 6, 1, 19
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\RarityWeightTable.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\RarityWeightTableExtensions.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\ScriptableObjectLoaderExtension.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\StorageItemData.cs", "C#", 0, 25, 0, 0, 0, 0, 0, 2, 27
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\WeaponPrefix.cs", "C#", 0, -2, 0, 0, 0, 0, 0, 0, -2
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Map\IMap.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Map\IMapPosition.cs", "C#", 0, -1, 0, 0, 0, 0, 0, 0, -1
