"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\CharacterStatusManager.cs", "C#", 4, 0, 0, 4
"Total", "-", 4, 0, 0, 4
