Date : 2024-12-03 18:22:18
Directory : c:\Users\Torte\Documents\Unity\LogRogue
Total : 2354 files,  2703599 codes, 11408 comments, 24838 blanks, all 2739845 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.0\ja                                                                                                                         |          1 |      1,075 |          0 |          0 |      1,075 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.0\ko                                                                                                                         |          1 |      1,076 |          0 |          0 |      1,076 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.0\ru                                                                                                                         |          1 |        956 |          0 |          0 |        956 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.0\zh-hans                                                                                                                    |          1 |      1,019 |          0 |          0 |      1,019 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.0\zh-hant                                                                                                                    |          1 |      1,026 |          0 |          0 |      1,026 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.3                                                                                                                            |         10 |     10,190 |          0 |          0 |     10,190 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.3 (Files)                                                                                                                    |          1 |      1,018 |          0 |          0 |      1,018 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.3\de                                                                                                                         |          1 |      1,018 |          0 |          0 |      1,018 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.3\es                                                                                                                         |          1 |        972 |          0 |          0 |        972 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.3\fr                                                                                                                         |          1 |      1,021 |          0 |          0 |      1,021 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.3\it                                                                                                                         |          1 |      1,009 |          0 |          0 |      1,009 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.3\ja                                                                                                                         |          1 |      1,075 |          0 |          0 |      1,075 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.3\ko                                                                                                                         |          1 |      1,076 |          0 |          0 |      1,076 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.3\ru                                                                                                                         |          1 |        956 |          0 |          0 |        956 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.3\zh-hans                                                                                                                    |          1 |      1,019 |          0 |          0 |      1,019 |
| Packages\System.Text.Encoding.4.3.0\ref\netstandard1.3\zh-hant                                                                                                                    |          1 |      1,026 |          0 |          0 |      1,026 |
| Packages\System.Text.Encoding.Extensions.4.3.0                                                                                                                                    |         30 |     30,366 |          0 |          0 |     30,366 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref                                                                                                                                |         30 |     30,366 |          0 |          0 |     30,366 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netcore50                                                                                                                      |         10 |     10,122 |          0 |          0 |     10,122 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netcore50 (Files)                                                                                                              |          1 |      1,007 |          0 |          0 |      1,007 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netcore50\de                                                                                                                   |          1 |      1,007 |          0 |          0 |      1,007 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netcore50\es                                                                                                                   |          1 |        986 |          0 |          0 |        986 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netcore50\fr                                                                                                                   |          1 |      1,023 |          0 |          0 |      1,023 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netcore50\it                                                                                                                   |          1 |      1,002 |          0 |          0 |      1,002 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netcore50\ja                                                                                                                   |          1 |      1,052 |          0 |          0 |      1,052 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netcore50\ko                                                                                                                   |          1 |      1,053 |          0 |          0 |      1,053 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netcore50\ru                                                                                                                   |          1 |        959 |          0 |          0 |        959 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netcore50\zh-hans                                                                                                              |          1 |      1,009 |          0 |          0 |      1,009 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netcore50\zh-hant                                                                                                              |          1 |      1,024 |          0 |          0 |      1,024 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.0                                                                                                                 |         10 |     10,122 |          0 |          0 |     10,122 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.0 (Files)                                                                                                         |          1 |      1,007 |          0 |          0 |      1,007 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.0\de                                                                                                              |          1 |      1,007 |          0 |          0 |      1,007 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.0\es                                                                                                              |          1 |        986 |          0 |          0 |        986 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.0\fr                                                                                                              |          1 |      1,023 |          0 |          0 |      1,023 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.0\it                                                                                                              |          1 |      1,002 |          0 |          0 |      1,002 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.0\ja                                                                                                              |          1 |      1,052 |          0 |          0 |      1,052 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.0\ko                                                                                                              |          1 |      1,053 |          0 |          0 |      1,053 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.0\ru                                                                                                              |          1 |        959 |          0 |          0 |        959 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.0\zh-hans                                                                                                         |          1 |      1,009 |          0 |          0 |      1,009 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.0\zh-hant                                                                                                         |          1 |      1,024 |          0 |          0 |      1,024 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.3                                                                                                                 |         10 |     10,122 |          0 |          0 |     10,122 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.3 (Files)                                                                                                         |          1 |      1,007 |          0 |          0 |      1,007 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.3\de                                                                                                              |          1 |      1,007 |          0 |          0 |      1,007 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.3\es                                                                                                              |          1 |        986 |          0 |          0 |        986 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.3\fr                                                                                                              |          1 |      1,023 |          0 |          0 |      1,023 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.3\it                                                                                                              |          1 |      1,002 |          0 |          0 |      1,002 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.3\ja                                                                                                              |          1 |      1,052 |          0 |          0 |      1,052 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.3\ko                                                                                                              |          1 |      1,053 |          0 |          0 |      1,053 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.3\ru                                                                                                              |          1 |        959 |          0 |          0 |        959 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.3\zh-hans                                                                                                         |          1 |      1,009 |          0 |          0 |      1,009 |
| Packages\System.Text.Encoding.Extensions.4.3.0\ref\netstandard1.3\zh-hant                                                                                                         |          1 |      1,024 |          0 |          0 |      1,024 |
| Packages\System.Text.RegularExpressions.4.3.0                                                                                                                                     |         40 |     33,552 |          0 |          0 |     33,552 |
| Packages\System.Text.RegularExpressions.4.3.0\ref                                                                                                                                 |         40 |     33,552 |          0 |          0 |     33,552 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netcore50                                                                                                                       |         10 |      8,388 |          0 |          0 |      8,388 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netcore50 (Files)                                                                                                               |          1 |        844 |          0 |          0 |        844 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netcore50\de                                                                                                                    |          1 |        844 |          0 |          0 |        844 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netcore50\es                                                                                                                    |          1 |        808 |          0 |          0 |        808 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netcore50\fr                                                                                                                    |          1 |        844 |          0 |          0 |        844 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netcore50\it                                                                                                                    |          1 |        843 |          0 |          0 |        843 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netcore50\ja                                                                                                                    |          1 |        864 |          0 |          0 |        864 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netcore50\ko                                                                                                                    |          1 |        863 |          0 |          0 |        863 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netcore50\ru                                                                                                                    |          1 |        777 |          0 |          0 |        777 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netcore50\zh-hans                                                                                                               |          1 |        849 |          0 |          0 |        849 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netcore50\zh-hant                                                                                                               |          1 |        852 |          0 |          0 |        852 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.0                                                                                                                  |         10 |      8,388 |          0 |          0 |      8,388 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.0 (Files)                                                                                                          |          1 |        844 |          0 |          0 |        844 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.0\de                                                                                                               |          1 |        844 |          0 |          0 |        844 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.0\es                                                                                                               |          1 |        808 |          0 |          0 |        808 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.0\fr                                                                                                               |          1 |        844 |          0 |          0 |        844 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.0\it                                                                                                               |          1 |        843 |          0 |          0 |        843 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.0\ja                                                                                                               |          1 |        864 |          0 |          0 |        864 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.0\ko                                                                                                               |          1 |        863 |          0 |          0 |        863 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.0\ru                                                                                                               |          1 |        777 |          0 |          0 |        777 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.0\zh-hans                                                                                                          |          1 |        849 |          0 |          0 |        849 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.0\zh-hant                                                                                                          |          1 |        852 |          0 |          0 |        852 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.3                                                                                                                  |         10 |      8,388 |          0 |          0 |      8,388 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.3 (Files)                                                                                                          |          1 |        844 |          0 |          0 |        844 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.3\de                                                                                                               |          1 |        844 |          0 |          0 |        844 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.3\es                                                                                                               |          1 |        808 |          0 |          0 |        808 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.3\fr                                                                                                               |          1 |        844 |          0 |          0 |        844 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.3\it                                                                                                               |          1 |        843 |          0 |          0 |        843 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.3\ja                                                                                                               |          1 |        864 |          0 |          0 |        864 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.3\ko                                                                                                               |          1 |        863 |          0 |          0 |        863 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.3\ru                                                                                                               |          1 |        777 |          0 |          0 |        777 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.3\zh-hans                                                                                                          |          1 |        849 |          0 |          0 |        849 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.3\zh-hant                                                                                                          |          1 |        852 |          0 |          0 |        852 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.6                                                                                                                  |         10 |      8,388 |          0 |          0 |      8,388 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.6 (Files)                                                                                                          |          1 |        844 |          0 |          0 |        844 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.6\de                                                                                                               |          1 |        844 |          0 |          0 |        844 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.6\es                                                                                                               |          1 |        808 |          0 |          0 |        808 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.6\fr                                                                                                               |          1 |        844 |          0 |          0 |        844 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.6\it                                                                                                               |          1 |        843 |          0 |          0 |        843 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.6\ja                                                                                                               |          1 |        864 |          0 |          0 |        864 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.6\ko                                                                                                               |          1 |        863 |          0 |          0 |        863 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.6\ru                                                                                                               |          1 |        777 |          0 |          0 |        777 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.6\zh-hans                                                                                                          |          1 |        849 |          0 |          0 |        849 |
| Packages\System.Text.RegularExpressions.4.3.0\ref\netstandard1.6\zh-hant                                                                                                          |          1 |        852 |          0 |          0 |        852 |
| Packages\System.Threading.4.3.0                                                                                                                                                   |         30 |     55,302 |          0 |          0 |     55,302 |
| Packages\System.Threading.4.3.0\ref                                                                                                                                               |         30 |     55,302 |          0 |          0 |     55,302 |
| Packages\System.Threading.4.3.0\ref\netcore50                                                                                                                                     |         10 |     18,434 |          0 |          0 |     18,434 |
| Packages\System.Threading.4.3.0\ref\netcore50 (Files)                                                                                                                             |          1 |      1,797 |          0 |          0 |      1,797 |
| Packages\System.Threading.4.3.0\ref\netcore50\de                                                                                                                                  |          1 |      1,799 |          0 |          0 |      1,799 |
| Packages\System.Threading.4.3.0\ref\netcore50\es                                                                                                                                  |          1 |      1,803 |          0 |          0 |      1,803 |
| Packages\System.Threading.4.3.0\ref\netcore50\fr                                                                                                                                  |          1 |      1,833 |          0 |          0 |      1,833 |
| Packages\System.Threading.4.3.0\ref\netcore50\it                                                                                                                                  |          1 |      1,800 |          0 |          0 |      1,800 |
| Packages\System.Threading.4.3.0\ref\netcore50\ja                                                                                                                                  |          1 |      1,950 |          0 |          0 |      1,950 |
| Packages\System.Threading.4.3.0\ref\netcore50\ko                                                                                                                                  |          1 |      1,952 |          0 |          0 |      1,952 |
| Packages\System.Threading.4.3.0\ref\netcore50\ru                                                                                                                                  |          1 |      1,761 |          0 |          0 |      1,761 |
| Packages\System.Threading.4.3.0\ref\netcore50\zh-hans                                                                                                                             |          1 |      1,854 |          0 |          0 |      1,854 |
| Packages\System.Threading.4.3.0\ref\netcore50\zh-hant                                                                                                                             |          1 |      1,885 |          0 |          0 |      1,885 |
| Packages\System.Threading.4.3.0\ref\netstandard1.0                                                                                                                                |         10 |     18,434 |          0 |          0 |     18,434 |
| Packages\System.Threading.4.3.0\ref\netstandard1.0 (Files)                                                                                                                        |          1 |      1,797 |          0 |          0 |      1,797 |
| Packages\System.Threading.4.3.0\ref\netstandard1.0\de                                                                                                                             |          1 |      1,799 |          0 |          0 |      1,799 |
| Packages\System.Threading.4.3.0\ref\netstandard1.0\es                                                                                                                             |          1 |      1,803 |          0 |          0 |      1,803 |
| Packages\System.Threading.4.3.0\ref\netstandard1.0\fr                                                                                                                             |          1 |      1,833 |          0 |          0 |      1,833 |
| Packages\System.Threading.4.3.0\ref\netstandard1.0\it                                                                                                                             |          1 |      1,800 |          0 |          0 |      1,800 |
| Packages\System.Threading.4.3.0\ref\netstandard1.0\ja                                                                                                                             |          1 |      1,950 |          0 |          0 |      1,950 |
| Packages\System.Threading.4.3.0\ref\netstandard1.0\ko                                                                                                                             |          1 |      1,952 |          0 |          0 |      1,952 |
| Packages\System.Threading.4.3.0\ref\netstandard1.0\ru                                                                                                                             |          1 |      1,761 |          0 |          0 |      1,761 |
| Packages\System.Threading.4.3.0\ref\netstandard1.0\zh-hans                                                                                                                        |          1 |      1,854 |          0 |          0 |      1,854 |
| Packages\System.Threading.4.3.0\ref\netstandard1.0\zh-hant                                                                                                                        |          1 |      1,885 |          0 |          0 |      1,885 |
| Packages\System.Threading.4.3.0\ref\netstandard1.3                                                                                                                                |         10 |     18,434 |          0 |          0 |     18,434 |
| Packages\System.Threading.4.3.0\ref\netstandard1.3 (Files)                                                                                                                        |          1 |      1,797 |          0 |          0 |      1,797 |
| Packages\System.Threading.4.3.0\ref\netstandard1.3\de                                                                                                                             |          1 |      1,799 |          0 |          0 |      1,799 |
| Packages\System.Threading.4.3.0\ref\netstandard1.3\es                                                                                                                             |          1 |      1,803 |          0 |          0 |      1,803 |
| Packages\System.Threading.4.3.0\ref\netstandard1.3\fr                                                                                                                             |          1 |      1,833 |          0 |          0 |      1,833 |
| Packages\System.Threading.4.3.0\ref\netstandard1.3\it                                                                                                                             |          1 |      1,800 |          0 |          0 |      1,800 |
| Packages\System.Threading.4.3.0\ref\netstandard1.3\ja                                                                                                                             |          1 |      1,950 |          0 |          0 |      1,950 |
| Packages\System.Threading.4.3.0\ref\netstandard1.3\ko                                                                                                                             |          1 |      1,952 |          0 |          0 |      1,952 |
| Packages\System.Threading.4.3.0\ref\netstandard1.3\ru                                                                                                                             |          1 |      1,761 |          0 |          0 |      1,761 |
| Packages\System.Threading.4.3.0\ref\netstandard1.3\zh-hans                                                                                                                        |          1 |      1,854 |          0 |          0 |      1,854 |
| Packages\System.Threading.4.3.0\ref\netstandard1.3\zh-hant                                                                                                                        |          1 |      1,885 |          0 |          0 |      1,885 |
| Packages\System.Threading.Tasks.4.3.0                                                                                                                                             |         30 |    100,383 |          0 |          0 |    100,383 |
| Packages\System.Threading.Tasks.4.3.0\ref                                                                                                                                         |         30 |    100,383 |          0 |          0 |    100,383 |
| Packages\System.Threading.Tasks.4.3.0\ref\netcore50                                                                                                                               |         10 |     33,461 |          0 |          0 |     33,461 |
| Packages\System.Threading.Tasks.4.3.0\ref\netcore50 (Files)                                                                                                                       |          1 |      3,163 |          0 |          0 |      3,163 |
| Packages\System.Threading.Tasks.4.3.0\ref\netcore50\de                                                                                                                            |          1 |      3,168 |          0 |          0 |      3,168 |
| Packages\System.Threading.Tasks.4.3.0\ref\netcore50\es                                                                                                                            |          1 |      3,175 |          0 |          0 |      3,175 |
| Packages\System.Threading.Tasks.4.3.0\ref\netcore50\fr                                                                                                                            |          1 |      3,309 |          0 |          0 |      3,309 |
| Packages\System.Threading.Tasks.4.3.0\ref\netcore50\it                                                                                                                            |          1 |      3,172 |          0 |          0 |      3,172 |
| Packages\System.Threading.Tasks.4.3.0\ref\netcore50\ja                                                                                                                            |          1 |      3,758 |          0 |          0 |      3,758 |
| Packages\System.Threading.Tasks.4.3.0\ref\netcore50\ko                                                                                                                            |          1 |      3,760 |          0 |          0 |      3,760 |
| Packages\System.Threading.Tasks.4.3.0\ref\netcore50\ru                                                                                                                            |          1 |      3,156 |          0 |          0 |      3,156 |
| Packages\System.Threading.Tasks.4.3.0\ref\netcore50\zh-hans                                                                                                                       |          1 |      3,378 |          0 |          0 |      3,378 |
| Packages\System.Threading.Tasks.4.3.0\ref\netcore50\zh-hant                                                                                                                       |          1 |      3,422 |          0 |          0 |      3,422 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.0                                                                                                                          |         10 |     33,461 |          0 |          0 |     33,461 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.0 (Files)                                                                                                                  |          1 |      3,163 |          0 |          0 |      3,163 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.0\de                                                                                                                       |          1 |      3,168 |          0 |          0 |      3,168 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.0\es                                                                                                                       |          1 |      3,175 |          0 |          0 |      3,175 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.0\fr                                                                                                                       |          1 |      3,309 |          0 |          0 |      3,309 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.0\it                                                                                                                       |          1 |      3,172 |          0 |          0 |      3,172 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.0\ja                                                                                                                       |          1 |      3,758 |          0 |          0 |      3,758 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.0\ko                                                                                                                       |          1 |      3,760 |          0 |          0 |      3,760 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.0\ru                                                                                                                       |          1 |      3,156 |          0 |          0 |      3,156 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.0\zh-hans                                                                                                                  |          1 |      3,378 |          0 |          0 |      3,378 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.0\zh-hant                                                                                                                  |          1 |      3,422 |          0 |          0 |      3,422 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.3                                                                                                                          |         10 |     33,461 |          0 |          0 |     33,461 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.3 (Files)                                                                                                                  |          1 |      3,163 |          0 |          0 |      3,163 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.3\de                                                                                                                       |          1 |      3,168 |          0 |          0 |      3,168 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.3\es                                                                                                                       |          1 |      3,175 |          0 |          0 |      3,175 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.3\fr                                                                                                                       |          1 |      3,309 |          0 |          0 |      3,309 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.3\it                                                                                                                       |          1 |      3,172 |          0 |          0 |      3,172 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.3\ja                                                                                                                       |          1 |      3,758 |          0 |          0 |      3,758 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.3\ko                                                                                                                       |          1 |      3,760 |          0 |          0 |      3,760 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.3\ru                                                                                                                       |          1 |      3,156 |          0 |          0 |      3,156 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.3\zh-hans                                                                                                                  |          1 |      3,378 |          0 |          0 |      3,378 |
| Packages\System.Threading.Tasks.4.3.0\ref\netstandard1.3\zh-hant                                                                                                                  |          1 |      3,422 |          0 |          0 |      3,422 |
| Packages\System.Threading.Timer.4.3.0                                                                                                                                             |         20 |      1,218 |          0 |          0 |      1,218 |
| Packages\System.Threading.Timer.4.3.0\ref                                                                                                                                         |         20 |      1,218 |          0 |          0 |      1,218 |
| Packages\System.Threading.Timer.4.3.0\ref\netcore50                                                                                                                               |         10 |        609 |          0 |          0 |        609 |
| Packages\System.Threading.Timer.4.3.0\ref\netcore50 (Files)                                                                                                                       |          1 |         58 |          0 |          0 |         58 |
| Packages\System.Threading.Timer.4.3.0\ref\netcore50\de                                                                                                                            |          1 |         58 |          0 |          0 |         58 |
| Packages\System.Threading.Timer.4.3.0\ref\netcore50\es                                                                                                                            |          1 |         59 |          0 |          0 |         59 |
| Packages\System.Threading.Timer.4.3.0\ref\netcore50\fr                                                                                                                            |          1 |         59 |          0 |          0 |         59 |
| Packages\System.Threading.Timer.4.3.0\ref\netcore50\it                                                                                                                            |          1 |         58 |          0 |          0 |         58 |
| Packages\System.Threading.Timer.4.3.0\ref\netcore50\ja                                                                                                                            |          1 |         68 |          0 |          0 |         68 |
| Packages\System.Threading.Timer.4.3.0\ref\netcore50\ko                                                                                                                            |          1 |         70 |          0 |          0 |         70 |
| Packages\System.Threading.Timer.4.3.0\ref\netcore50\ru                                                                                                                            |          1 |         58 |          0 |          0 |         58 |
| Packages\System.Threading.Timer.4.3.0\ref\netcore50\zh-hans                                                                                                                       |          1 |         59 |          0 |          0 |         59 |
| Packages\System.Threading.Timer.4.3.0\ref\netcore50\zh-hant                                                                                                                       |          1 |         62 |          0 |          0 |         62 |
| Packages\System.Threading.Timer.4.3.0\ref\netstandard1.2                                                                                                                          |         10 |        609 |          0 |          0 |        609 |
| Packages\System.Threading.Timer.4.3.0\ref\netstandard1.2 (Files)                                                                                                                  |          1 |         58 |          0 |          0 |         58 |
| Packages\System.Threading.Timer.4.3.0\ref\netstandard1.2\de                                                                                                                       |          1 |         58 |          0 |          0 |         58 |
