Date : 2024-12-03 18:22:18
Directory : c:\Users\Torte\Documents\Unity\LogRogue
Total : 2354 files,  2703599 codes, 11408 comments, 24838 blanks, all 2739845 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| Assets\Scripts\Domain\Model\Map                                                                                                                                                   |         10 |        246 |          0 |         38 |        284 |
| Assets\Scripts\Domain\Model\Memento                                                                                                                                               |         32 |      1,053 |          0 |         88 |      1,141 |
| Assets\Scripts\Domain\Model\Setting                                                                                                                                               |          5 |        161 |          0 |         15 |        176 |
| Assets\Scripts\Domain\Service                                                                                                                                                     |        108 |      8,568 |          7 |      1,224 |      9,799 |
| Assets\Scripts\Domain\Service (Files)                                                                                                                                             |          1 |         29 |          0 |          0 |         29 |
| Assets\Scripts\Domain\Service\Action                                                                                                                                              |          7 |        216 |          0 |         30 |        246 |
| Assets\Scripts\Domain\Service\Characters                                                                                                                                          |         32 |      3,359 |          6 |        482 |      3,847 |
| Assets\Scripts\Domain\Service\Characters (Files)                                                                                                                                  |          7 |      1,553 |          5 |        229 |      1,787 |
| Assets\Scripts\Domain\Service\Characters\Behavior                                                                                                                                 |         12 |      1,012 |          1 |        135 |      1,148 |
| Assets\Scripts\Domain\Service\Characters\Conditions                                                                                                                               |         12 |        548 |          0 |         85 |        633 |
| Assets\Scripts\Domain\Service\Characters\Stats                                                                                                                                    |          1 |        246 |          0 |         33 |        279 |
| Assets\Scripts\Domain\Service\Effect                                                                                                                                              |         30 |      1,976 |          0 |        317 |      2,293 |
| Assets\Scripts\Domain\Service\Events                                                                                                                                              |         11 |        691 |          0 |         96 |        787 |
| Assets\Scripts\Domain\Service\ItemEffect                                                                                                                                          |          6 |        161 |          0 |         26 |        187 |
| Assets\Scripts\Domain\Service\Items                                                                                                                                               |          9 |      1,100 |          1 |        141 |      1,242 |
| Assets\Scripts\Domain\Service\Logs                                                                                                                                                |          1 |         21 |          0 |          3 |         24 |
| Assets\Scripts\Domain\Service\Map                                                                                                                                                 |          4 |        530 |          0 |         77 |        607 |
| Assets\Scripts\Domain\Service\Map (Files)                                                                                                                                         |          3 |        494 |          0 |         73 |        567 |
| Assets\Scripts\Domain\Service\Map\Tests                                                                                                                                           |          1 |         36 |          0 |          4 |         40 |
| Assets\Scripts\Domain\Service\Rooms                                                                                                                                               |          7 |        485 |          0 |         52 |        537 |
| Assets\Scripts\Game                                                                                                                                                               |         20 |      2,339 |          5 |        310 |      2,654 |
| Assets\Scripts\Provider                                                                                                                                                           |         27 |      1,859 |          4 |        179 |      2,042 |
| Assets\Scripts\Utilities                                                                                                                                                          |         57 |      3,024 |         42 |        466 |      3,532 |
| Assets\Scripts\Utilities (Files)                                                                                                                                                  |         26 |      1,684 |         13 |        229 |      1,926 |
| Assets\Scripts\Utilities\Messages                                                                                                                                                 |          4 |        120 |          0 |         19 |        139 |
| Assets\Scripts\Utilities\Serialize                                                                                                                                                |         11 |        511 |          0 |         97 |        608 |
| Assets\Scripts\Utilities\Serialize (Files)                                                                                                                                        |          5 |        172 |          0 |         26 |        198 |
| Assets\Scripts\Utilities\Serialize\Option                                                                                                                                         |          3 |        166 |          0 |         35 |        201 |
| Assets\Scripts\Utilities\Serialize\Result                                                                                                                                         |          3 |        173 |          0 |         36 |        209 |
| Assets\Scripts\Utilities\Stats                                                                                                                                                    |          9 |        391 |          0 |         72 |        463 |
| Assets\Scripts\Utilities\Table                                                                                                                                                    |          2 |         32 |          0 |          6 |         38 |
| Assets\Scripts\Utilities\Tests                                                                                                                                                    |          5 |        286 |         29 |         43 |        358 |
| Assets\Scripts\View                                                                                                                                                               |         51 |      3,138 |         18 |        297 |      3,453 |
| Assets\Scripts\View (Files)                                                                                                                                                       |         27 |      2,167 |         16 |        161 |      2,344 |
| Assets\Scripts\View\UI                                                                                                                                                            |         24 |        971 |          2 |        136 |      1,109 |
| Assets\StateEffect                                                                                                                                                                |          3 |        152 |          0 |         58 |        210 |
| Assets\StateEffect (Files)                                                                                                                                                        |          1 |         33 |          0 |         28 |         61 |
| Assets\StateEffect\EffectMaterials                                                                                                                                                |          2 |        119 |          0 |         30 |        149 |
| Assets\StateEffect\EffectMaterials\Shader                                                                                                                                         |          2 |        119 |          0 |         30 |        149 |
| Assets\TextMesh Pro                                                                                                                                                               |         18 |      2,493 |         82 |        646 |      3,221 |
| Assets\TextMesh Pro\Shaders                                                                                                                                                       |         17 |      2,338 |         82 |        644 |      3,064 |
| Assets\TextMesh Pro\Sprites                                                                                                                                                       |          1 |        155 |          0 |          2 |        157 |
| Assets\kyouma0220                                                                                                                                                                 |         13 |        765 |         10 |        124 |        899 |
| Assets\kyouma0220\RandomDungeonWithBluePrint                                                                                                                                      |         13 |        765 |         10 |        124 |        899 |
| Packages                                                                                                                                                                          |      1,218 |  2,501,359 |      1,459 |      3,105 |  2,505,923 |
| Packages (Files)                                                                                                                                                                  |          2 |        857 |          0 |          2 |        859 |
| Packages\Microsoft.NETCore.Platforms.1.1.0                                                                                                                                        |          1 |        354 |          0 |         53 |        407 |
| Packages\Microsoft.Win32.Primitives.4.3.0                                                                                                                                         |         10 |        360 |          0 |          0 |        360 |
| Packages\Microsoft.Win32.Primitives.4.3.0\ref                                                                                                                                     |         10 |        360 |          0 |          0 |        360 |
| Packages\Microsoft.Win32.Primitives.4.3.0\ref\netstandard1.3                                                                                                                      |         10 |        360 |          0 |          0 |        360 |
| Packages\Microsoft.Win32.Primitives.4.3.0\ref\netstandard1.3 (Files)                                                                                                              |          1 |         36 |          0 |          0 |         36 |
| Packages\Microsoft.Win32.Primitives.4.3.0\ref\netstandard1.3\de                                                                                                                   |          1 |         36 |          0 |          0 |         36 |
