Date : 2024-09-04 04:25:08
Directory : c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain
Total : 386 files,  10661 codes, 21 comments, 1245 blanks, all 11927 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\OrbType.cs                               | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Potion.cs                                | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\PotionType.cs                            | C#                      |         18 |          0 |          0 |         18 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Pterodactyl.cs                           | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\PterodactylType.cs                       | C#                      |         14 |          0 |          0 |         14 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Puddle.cs                                | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\PuddleType.cs                            | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Pyramid.cs                               | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\PyramidType.cs                           | C#                      |          8 |          0 |          0 |          8 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Reaper.cs                                | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\ReaperType.cs                            | C#                      |          7 |          0 |          0 |          7 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Robot.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\RobotType.cs                             | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Scorpion.cs                              | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\ScorpionType.cs                          | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Sentry.cs                                | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SentryCopter.cs                          | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SentryCopterType.cs                      | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SentryType.cs                            | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Shield.cs                                | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\ShieldType.cs                            | C#                      |         12 |          0 |          0 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Skeleton.cs                              | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SkeletonType.cs                          | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Skull.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SkullFlaming.cs                          | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SkullFlamingType.cs                      | C#                      |          8 |          0 |          0 |          8 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SkullSmall.cs                            | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SkullSmallType.cs                        | C#                      |         14 |          0 |          0 |         14 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SkullType.cs                             | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Slime.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SlimeSmall.cs                            | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SlimeSmallType.cs                        | C#                      |         15 |          0 |          0 |         15 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SlimeSmaller.cs                          | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SlimeSmallerType.cs                      | C#                      |         13 |          0 |          0 |         13 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SlimeSquare.cs                           | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SlimeSquareSmall.cs                      | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SlimeSquareSmallType.cs                  | C#                      |         14 |          0 |          0 |         14 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SlimeSquareSmaller.cs                    | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SlimeSquareSmallerType.cs                | C#                      |         16 |          0 |          0 |         16 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SlimeSquareType.cs                       | C#                      |         18 |          0 |          0 |         18 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SlimeType.cs                             | C#                      |         22 |          0 |          0 |         22 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Slug.cs                                  | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SlugType.cs                              | C#                      |         13 |          0 |          0 |         13 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Snake.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SnakeType.cs                             | C#                      |         18 |          0 |          0 |         18 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Space.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SpaceType.cs                             | C#                      |          7 |          0 |          0 |          7 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Sparks.cs                                | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SparksType.cs                            | C#                      |          7 |          0 |          0 |          7 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Sphere.cs                                | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SphereType.cs                            | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Squirrel.cs                              | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SquirrelType.cs                          | C#                      |          8 |          0 |          0 |          8 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Sword.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\SwordType.cs                             | C#                      |          8 |          0 |          0 |          8 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Tentacle.cs                              | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\TentacleType.cs                          | C#                      |         12 |          0 |          0 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Water.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\WaterSmall.cs                            | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\WaterSmallType.cs                        | C#                      |          7 |          0 |          0 |          7 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\WaterType.cs                             | C#                      |          7 |          0 |          0 |          7 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Weasel.cs                                | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\WeaselType.cs                            | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Witch.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\WitchType.cs                             | C#                      |         12 |          0 |          0 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Worm.cs                                  | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\WormType.cs                              | C#                      |         14 |          0 |          0 |         14 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Zombie.cs                                | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\ZombieType.cs                            | C#                      |          8 |          0 |          0 |          8 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Condition\IConditionData.cs                             | C#                      |         19 |          0 |          1 |         20 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Condition\IHasCondition.cs                              | C#                      |         30 |          0 |          1 |         31 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Condition\RemovalConditionData.cs                       | C#                      |         56 |          0 |          9 |         65 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Domain.Model.asmdef                                     | UnityAssemblyDefinition |         19 |          0 |          0 |         19 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\DungeonBluePrintData.cs                                 | C#                      |        110 |          0 |          2 |        112 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\DungeonMapData.cs                                       | C#                      |         31 |          0 |          1 |         32 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Area\CircleArea.cs                               | C#                      |         47 |          0 |          7 |         54 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Area\FanArea.cs                                  | C#                      |         83 |          0 |         11 |         94 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Area\IArea.cs                                    | C#                      |         11 |          0 |          1 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Area\IDirectionalArea.cs                         | C#                      |          9 |          0 |          1 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Area\INotDirectionalArea.cs                      | C#                      |          9 |          0 |          1 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Area\LineArea.cs                                 | C#                      |         47 |          0 |          6 |         53 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Area\SelfArea.cs                                 | C#                      |         26 |          0 |          5 |         31 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\CharacterGroup.cs                                | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\IActorOfEffect.cs                                | C#                      |         16 |          0 |          1 |         17 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\IAffiliation.cs                                  | C#                      |         17 |          0 |          1 |         18 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\ICharacterSkill.cs                               | C#                      |         17 |          0 |          1 |         18 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\IEffect.cs                                       | C#                      |         15 |          0 |          1 |         16 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\IEffectMap.cs                                    | C#                      |         13 |          0 |          1 |         14 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\IEffectPosition.cs                               | C#                      |         12 |          0 |          1 |         13 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\IHasAffiliation.cs                               | C#                      |         19 |          0 |          3 |         22 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\IHasUpgrades.cs                                  | C#                      |         43 |          0 |          1 |         44 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\IPassableChecker.cs                              | C#                      |         13 |          0 |          1 |         14 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\ISkill.cs                                        | C#                      |          7 |          0 |          0 |          7 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\ISkillResult.cs                                  | C#                      |          8 |          0 |          0 |          8 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\ITargetOfEffect.cs                               | C#                      |         27 |         10 |          3 |         40 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Impact.cs                                        | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\OnAffectionChangedMessage.cs                     | C#                      |          5 |          0 |          1 |          6 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Position\AtFeet.cs                               | C#                      |         23 |          0 |          4 |         27 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Position\NearByCharacter.cs                      | C#                      |         58 |          0 |          7 |         65 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Position\ProjectileImpact.cs                     | C#                      |         34 |          0 |          7 |         41 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\SkillData.cs                                     | C#                      |         32 |          0 |          3 |         35 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\SkillDataOnThrow.cs                              | C#                      |         22 |          0 |          3 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\SkillDataOnUse.cs                                | C#                      |         24 |          0 |          3 |         27 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\UpgradePath.cs                                   | C#                      |         45 |          0 |          4 |         49 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\EntityLayer.cs                                          | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\IEntity.cs                                              | C#                      |         20 |          0 |          1 |         21 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\IHasInfo.cs                                             | C#                      |          7 |          0 |          0 |          7 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\IIconEntity.cs                                          | C#                      |          8 |          0 |          1 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\IInput.cs                                               | C#                      |          8 |          0 |          0 |          8 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\IItemEntity.cs                                          | C#                      |         19 |          0 |          2 |         21 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\IMap.cs                                                 | C#                      |         35 |          0 |          1 |         36 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\ISerializable.cs                                        | C#                      |          4 |          0 |          0 |          4 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\ITable.cs                                               | C#                      |          9 |          0 |          1 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\ItemCategory.cs                                         | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\ItemCategoryWeight.cs                                   | C#                      |         24 |          0 |          1 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\ItemTable.cs                                            | C#                      |         26 |          0 |          1 |         27 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\IHasRarity.cs                                      | C#                      |          8 |          0 |          0 |          8 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\IItemEffect.cs                                     | C#                      |         11 |          0 |          1 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\IItemSelecter.cs                                   | C#                      |          9 |          0 |          1 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\ItemData.cs                                        | C#                      |        129 |          0 |         14 |        143 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\ItemEffectType.cs                                  | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\ItemState.cs                                       | C#                      |         11 |          0 |          1 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\ItemStateExtensions.cs                             | C#                      |         17 |          0 |          0 |         17 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\MaterialData.cs                                    | C#                      |         25 |          0 |          2 |         27 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\Rarity.cs                                          | C#                      |         14 |          0 |          2 |         16 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\RarityExtensions.cs                                | C#                      |         36 |          0 |          4 |         40 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\RarityWeightTable.cs                               | C#                      |         23 |          0 |          2 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\WeaponMold.cs                                      | C#                      |         31 |          0 |          2 |         33 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Item\WeaponPrefix.cs                                    | C#                      |         30 |          0 |          2 |         32 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Map\TileCategory.cs                                     | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Map\TileData.cs                                         | C#                      |         46 |          0 |          6 |         52 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\MasterItemDataBase.cs                                   | C#                      |         14 |          0 |          1 |         15 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\AffiliationMemento.cs                           | C#                      |         11 |          0 |          1 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\CharacterMemento.cs                             | C#                      |         30 |          0 |          1 |         31 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\CharacterSkillMemento.cs                        | C#                      |         12 |          0 |          1 |         13 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\CharacterStatsMemento.cs                        | C#                      |         16 |          0 |          1 |         17 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\CharacterStatusMemento.cs                       | C#                      |         12 |          0 |          1 |         13 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\ChestMemento.cs                                 | C#                      |         11 |          0 |          1 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\ConditionMemento.cs                             | C#                      |         13 |          0 |          1 |         14 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\DownStairsMemento.cs                            | C#                      |         11 |          0 |          1 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\EntityMemento.cs                                | C#                      |         12 |          0 |          1 |         13 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\EventEntitiesMemento.cs                         | C#                      |         12 |          0 |          1 |         13 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\InventoryMemento.cs                             | C#                      |          9 |          0 |          1 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\ItemEntityMemento.cs                            | C#                      |         11 |          0 |          1 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\ItemMemento.cs                                  | C#                      |         26 |          0 |          1 |         27 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\MapMemento.cs                                   | C#                      |         19 |          0 |          1 |         20 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\RoomMemento.cs                                  | C#                      |         12 |          0 |          1 |         13 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\ShopItemMemento.cs                              | C#                      |         10 |          0 |          1 |         11 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\ShopMemento.cs                                  | C#                      |         14 |          0 |          1 |         15 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\SkillMemento.cs                                 | C#                      |         24 |          0 |          1 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\TileMemento.cs                                  | C#                      |         12 |          0 |          1 |         13 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\TilemapMemento.cs                               | C#                      |         13 |          0 |          1 |         14 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\UpStairsMemento.cs                              | C#                      |         11 |          0 |          1 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\WorldMemento.cs                                 | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\RoomData.cs                                             | C#                      |         17 |          0 |          1 |         18 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Setting\CheckBox.cs                                     | C#                      |         19 |          0 |          4 |         23 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Setting\IOptionInput.cs                                 | C#                      |          6 |          0 |          0 |          6 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Setting\Settings.asmdef                                 | UnityAssemblyDefinition |         14 |          0 |          0 |         14 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Setting\Settings.cs                                     | C#                      |         50 |          0 |          4 |         54 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Setting\Slider.cs                                       | C#                      |         24 |          0 |          4 |         28 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Table.cs                                                | C#                      |         29 |          0 |          5 |         34 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Action\DoNothing.cs                                   | C#                      |         23 |          0 |          4 |         27 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Action\Move.cs                                        | C#                      |         27 |          0 |          4 |         31 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Action\Swap.cs                                        | C#                      |         41 |          0 |          4 |         45 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Action\ThrowItem.cs                                   | C#                      |         27 |          0 |          4 |         31 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Action\UseItem.cs                                     | C#                      |         27 |          0 |          4 |         31 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Action\UseSkill.cs                                    | C#                      |         27 |          0 |          4 |         31 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\Behavior\CharacterControllInputReceiver.cs | C#                      |         51 |          0 |          9 |         60 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\Behavior\Chase.cs                          | C#                      |         34 |          0 |          4 |         38 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\Behavior\EnemyBehavior.cs                  | C#                      |        221 |          0 |         24 |        245 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\Behavior\Escape.cs                         | C#                      |         22 |          0 |          1 |         23 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\Behavior\ICharacterBehavior.cs             | C#                      |         15 |          0 |          1 |         16 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\Behavior\IntelligentDashController.cs      | C#                      |         72 |          0 |          8 |         80 |
